Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET AUTH,100,2112,1199,3616,626.83,24.000%,18.39250,20.19,5.24,1124.0
USERS_TR_ADDUSER - 2,1,434,434,434,0.00,0.000%,2.30415,2.87,1.15,1277.0
USERS_TR_ADDUSER - 5,1,485,485,485,0.00,0.000%,2.05761,2.56,1.02,1276.0
USERS_TR_ADDUSER - 4,1,455,455,455,0.00,0.000%,2.19298,2.73,1.09,1277.0
USERS_TR_ADDUSER - 1,1,467,467,467,0.00,0.000%,2.13675,2.66,1.07,1277.0
USERS_TR_ADDUSER - 3,1,456,456,456,0.00,0.000%,2.18818,2.73,1.09,1277.0
USERS_TR_ADDUSER - 6,1,435,435,435,0.00,0.000%,2.29885,2.87,1.15,1277.0
USERS_TR_GETUSERPROFILE - 2,1,301,301,301,0.00,0.000%,3.24675,2.77,1.60,873.0
USERS_TR_GETUSERPROFILE - 5,1,426,426,426,0.00,0.000%,2.34742,2.00,1.16,872.0
USERS_TR_GETUSERPROFILE - 1,1,585,585,585,0.00,0.000%,1.70940,1.46,0.84,873.0
USERS_TR_GETUSERPROFILE - 6,1,567,567,567,0.00,0.000%,1.76367,1.50,0.87,873.0
USERS_TR_ADDUSER - 12,1,597,597,597,0.00,0.000%,1.62338,2.03,0.81,1278.0
USERS_TR_GETUSERPROFILE - 4,1,587,587,587,0.00,0.000%,1.70358,1.45,0.84,873.0
USERS_TR_ADDUSER - 10,1,597,597,597,0.00,0.000%,1.57729,1.97,0.79,1278.0
USERS_TR_ADDUSER - 13,1,599,599,599,0.00,0.000%,1.57233,1.96,0.79,1278.0
USERS_TR_GETUSERPROFILE - 3,1,688,688,688,0.00,0.000%,1.45349,1.24,0.72,873.0
USERS_TR_ADDUSER - 14,1,716,716,716,0.00,0.000%,1.36426,1.70,0.68,1278.0
USERS_TR_ADDUSER - 9,1,723,723,723,0.00,0.000%,1.38313,1.72,0.69,1277.0
USERS_TR_ADDUSER - 8,1,723,723,723,0.00,0.000%,1.38313,1.72,0.69,1277.0
USERS_TR_ADDUSER - 16,1,727,727,727,0.00,0.000%,1.37552,1.72,0.69,1277.0
USERS_TR_ADDUSER - 20,1,717,717,717,0.00,0.000%,1.28535,1.60,0.64,1278.0
